id,country,code,wlnyw,lnndg,lnwi,GEO,Africa,Americas,Asia,Europe,Oceania
24,Burkina Faso,BFA,6.742241,2.257383,3.052968,Africa,1,0,0,0,0
25,Burundi,BDI,6.214608,1.889105,1.022861,Africa,1,0,0,0,0
26,Cambodia,KHM,6.654306,1.970642,2.907475,Asia,0,0,1,0,0
27,Cameroon,CMR,7.731264,2.149145,2.977411,Africa,1,0,0,0,0
28,Canada,CAN,10.84707,1.897216,2.97883,Americas,0,1,0,0,0
29,Central African Republic,CAF,6.620073,2.05164,2.404447,Africa,1,0,0,0,0
30,Chad,TCD,6.882438,2.225559,3.041733,Africa,1,0,0,0,0
31,Chile,CHL,9.546813,1.905812,3.045836,Americas,0,1,0,0,0
32,China,CHN,7.847035,1.94606,3.509573,Asia,0,0,1,0,0
33,Colombia,COL,8.896683,1.938608,2.648251,Americas,0,1,0,0,0
34,Comoros,COM,7.335048,2.116109,2.336184,Africa,1,0,0,0,0
35,"Congo, Dem. Rep.",COD,6.294651,2.055655,2.668498,Africa,1,0,0,0,0
36,"Congo, Rep.",COG,8.348117,2.120858,3.040309,Africa,1,0,0,0,0
37,Costa Rica,CRI,9.169518,2.041913,2.984368,Americas,0,1,0,0,0
38,Cote d'Ivoire,CIV,7.801573,2.095444,2.32947,Africa,1,0,0,0,0
39,Croatia,HRV,9.65929,1.209274,2.993094,Europe,0,0,0,1,0
40,Cuba,CUB,8.543169,1.609438,2.474587,Americas,0,1,0,0,0
41,Cyprus,CYP,10.30475,2.008097,2.999933,Asia,0,0,1,0,0
42,Czech Republic,CZE,9.944309,1.609438,3.420781,Europe,0,0,0,1,0
43,Denmark,DNK,10.84707,1.70041,3.068406,Europe,0,0,0,1,0
44,Djibouti,DJI,7.557693,2.112483,2.173725,Africa,1,0,0,0,0
45,Dominican Republic,DOM,8.775023,1.963258,3.01809,Americas,0,1,0,0,0
46,Ecuador,ECU,8.708248,2.216633,2.945218,Americas,0,1,0,0,0
47,"Egypt, Arab Rep.",EGY,8.135825,1.979659,2.941044,Africa,1,0,0,0,0
48,El Salvador,SLV,8.574351,1.841284,2.829264,Americas,0,1,0,0,0
49,Equatorial Guinea,GNQ,9.204475,2.291111,3.548421,Africa,1,0,0,0,0
50,Estonia,EST,9.606563,1.609438,3.281528,Europe,0,0,0,1,0
51,Fiji,FJI,8.596156,1.814032,2.732632,Oceania,0,0,0,0,1
52,Finland,FIN,10.84707,1.702102,3.139218,Europe,0,0,0,1,0
53,France,FRA,10.84707,1.688845,3.064185,Europe,0,0,0,1,0
54,Gabon,GAB,9.812733,1.970642,3.086582,Africa,1,0,0,0,0
55,"Gambia, The",GMB,6.935838,1.970642,1.517871,Africa,1,0,0,0,0
56,Georgia,GEO,7.683594,1.209274,3.236621,Asia,0,0,1,0,0
